address,block,street_name,lat_long
852 YISHUN STREET 81,852,YISHUN ST 81,"1.4159992, 103.83682275000001"
553 BEDOK NORTH AVENUE 1,553,BEDOK NTH AVE 1,"1.3314525499999998, 103.92773571499973"
329 BUKIT BATOK STREET 33,329,BT BATOK ST 33,"1.3631647, 103.7474769440729"
633C SENJA ROAD,633C,SENJA RD,"1.3847056000000002, 103.75925175"
231 JURONG EAST STREET 21,231,JURONG EAST ST 21,"1.34116175, 103.73804172600836"
642 PASIR RIS DRIVE 10,642,PASIR RIS DR 10,"1.3775051999999999, 103.9383279557407"
219 TAMPINES STREET 24,219,TAMPINES ST 24,"1.3547524499999999, 103.95262616987768"
232 ANG MO KIO AVENUE 3,232,ANG MO KIO AVE 3,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore"
714 ANG MO KIO AVENUE 6,714,ANG MO KIO AVE 6,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore"
134 GEYLANG EAST AVENUE 1,134,GEYLANG EAST AVE 1,"1.3159915, 103.8862216"
615B EDGEFIELD PLAINS,615B,EDGEFIELD PLAINS,"Error: Road retrieved. Returned address Edgefield Plains, Punggol, Northeast, 828850, Singapore"
747 PASIR RIS STREET 71,747,PASIR RIS ST 71,"1.3792124499999998, 103.93466356142494"
104 BEDOK RESERVOIR ROAD,104,BEDOK RESERVOIR RD,"1.3292405, 103.90988635265701"
201 SERANGOON CENTRAL,201,SERANGOON CTRL,"1.35115945, 103.8737480055881"
426 TAMPINES STREET 41,426,TAMPINES ST 41,"1.3595607, 103.94789351180518"
248 BUKIT BATOK EAST AVENUE 5,248,BT BATOK EAST AVE 5,"1.35025705, 103.75665734562726"
547 WOODLANDS DRIVE 16,547,WOODLANDS DR 16,"Error: Road retrieved. Returned address Woodlands Drive 16, Woodlands, Northwest, 730548, Singapore"
83 WHAMPOA DRIVE,83,WHAMPOA DR,"1.3235881, 103.85706220468357"
575 ANG MO KIO AVENUE 10,575,ANG MO KIO AVE 10,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560449, Singapore"
539 BUKIT BATOK STREET 52,539,BT BATOK ST 52,"1.3547877499999998, 103.75089940908131"
487 SEGAR ROAD,487,SEGAR RD,"1.38917325, 103.77133360932481"
20 TEBAN GARDENS ROAD,20,TEBAN GDNS RD,"1.3238598000000001, 103.73877223955415"
176 BOON LAY DRIVE,176,BOON LAY DR,"1.3473552, 103.70999563428578"
264B COMPASSVALE BOW,264B,COMPASSVALE BOW,"1.3813843000000001, 103.89652037862119"
434A FERNVALE ROAD,434A,FERNVALE RD,"1.39439525, 103.87640327165045"
512 BUKIT BATOK STREET 52,512,BT BATOK ST 52,"1.3539963, 103.75283980208427"
251 BANGKIT ROAD,251,BANGKIT RD,"1.3802419000000001, 103.77394510051141"
204C PUNGGOL FIELD,204C,PUNGGOL FIELD,"Error: Road retrieved. Returned address Punggol Field, Punggol Cove, Punggol, Northeast, 820198, Singapore"
180 ANG MO KIO AVENUE 5,180,ANG MO KIO AVE 5,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 560180, Singapore"
402 SIN MING AVENUE,402,SIN MING AVE,"1.3627589, 103.83276225"
125 SERANGOON NORTH AVENUE 1,125,SERANGOON NTH AVE 1,"1.36652715, 103.87240135"
362 TAMPINES STREET 34,362,TAMPINES ST 34,"1.3562085000000002, 103.96161536527232"
726 TAMPINES STREET 71,726,TAMPINES ST 71,"1.3570288499999998, 103.9359115488072"
84B LORONG 2 TOA PAYOH,84B,LOR 2 TOA PAYOH,"1.3357177, 103.84682095674121"
585 WOODLANDS DRIVE 16,585,WOODLANDS DR 16,"1.4292975499999998, 103.79547419240842"
